Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback comments
36,10,6,5,2,1,9,9,6,Very supportive teacher.
562,6,3,6,7,8,7,4,1,I would recommend this course.
231,10,7,8,1,3,3,3,3,Not very helpful.
869,8,7,6,2,9,4,1,7,Sometimes explanations are confusing.
608,7,4,6,5,4,7,8,7,"Great course, learned a lot!"
846,10,7,7,4,7,10,7,1,Assignments are too hard.
542,10,4,7,7,2,2,5,9,Best subject ever!
941,9,3,7,2,9,7,3,1,I would recommend this course.
919,10,2,8,5,6,3,8,5,Very supportive teacher.
352,6,2,6,3,5,3,8,6,I would recommend this course.
839,9,2,5,10,4,4,9,1,Not very helpful.
266,8,8,5,6,6,8,2,2,Loved the presentations.
298,8,4,8,9,7,1,7,3,"Great course, learned a lot!"
929,10,2,6,1,1,9,9,7,"Great course, learned a lot!"
574,6,4,8,5,9,5,7,10,Best subject ever!
250,5,7,7,3,1,6,3,1,Loved the presentations.
616,9,8,6,9,6,3,5,8,Course structure could be better.
164,8,5,7,10,8,9,10,1,The teacher explains well.
827,6,3,4,9,7,8,7,6,Assignments are too hard.
228,7,6,6,1,6,6,6,9,"Great course, learned a lot!"
787,10,10,5,10,1,9,3,8,Sometimes explanations are confusing.
317,8,8,4,1,10,10,9,1,"Great course, learned a lot!"
110,9,6,4,1,4,7,9,5,I would recommend this course.
165,6,2,6,2,2,10,2,2,"Great course, learned a lot!"
701,5,9,7,1,9,9,1,9,"Great course, learned a lot!"
362,7,9,6,7,4,8,1,2,The teacher explains well.
890,8,7,5,3,9,1,4,5,The teacher explains well.
728,10,9,4,8,5,2,3,10,Very supportive teacher.
466,9,8,5,5,6,2,10,4,Course structure could be better.
709,9,3,6,4,4,8,10,1,Sometimes explanations are confusing.
482,10,3,4,3,10,1,8,5,"Great course, learned a lot!"
406,9,10,6,1,6,1,9,2,"Great course, learned a lot!"
66,8,5,8,7,6,1,9,9,Assignments are too hard.
862,6,5,6,5,7,2,10,8,The teacher explains well.
61,9,8,6,5,3,10,6,6,Sometimes explanations are confusing.
111,7,9,7,1,10,10,3,10,Best subject ever!
147,6,8,4,6,9,6,8,7,Very supportive teacher.
211,7,4,4,3,7,8,7,10,Course structure could be better.
996,6,5,6,10,8,7,8,4,Loved the presentations.
459,8,5,8,6,6,1,8,4,Course structure could be better.
81,5,5,6,5,7,3,9,5,I would recommend this course.
288,5,9,6,9,4,4,2,6,"Great course, learned a lot!"
6,7,10,8,3,3,4,1,2,Very supportive teacher.
547,6,6,8,5,1,2,2,8,I would recommend this course.
30,6,2,7,5,1,10,9,10,Sometimes explanations are confusing.
445,9,4,4,2,4,8,1,6,Loved the presentations.
591,6,9,8,5,10,6,2,10,The teacher explains well.
770,10,10,5,7,10,7,7,10,Very supportive teacher.
484,9,6,8,10,3,2,8,4,Very supportive teacher.
180,8,4,4,1,6,9,6,1,"Great course, learned a lot!"
946,5,5,5,6,1,3,10,5,Not very helpful.
901,9,8,6,1,2,9,8,2,Very supportive teacher.
517,10,5,7,7,5,10,6,5,Assignments are too hard.
545,9,4,8,1,8,6,2,4,Loved the presentations.
918,8,3,8,9,9,1,6,1,Loved the presentations.
652,8,3,4,8,3,2,2,3,Assignments are too hard.
471,10,10,4,8,2,2,4,7,Best subject ever!
323,6,8,7,5,4,1,9,3,Assignments are too hard.
276,8,5,7,9,1,10,1,2,Assignments are too hard.
672,7,8,5,6,5,10,5,10,Loved the presentations.
337,10,7,6,8,9,5,1,1,Course structure could be better.
468,7,7,8,4,2,1,5,10,Loved the presentations.
380,8,8,4,8,2,4,9,2,Not very helpful.
755,9,8,7,2,9,6,3,7,"Great course, learned a lot!"
267,8,9,4,4,8,4,8,1,I would recommend this course.
598,9,3,4,9,3,4,5,1,Course structure could be better.
128,6,2,6,1,9,3,9,2,The teacher explains well.
444,8,2,6,10,7,2,4,8,I would recommend this course.
572,6,5,4,4,8,6,8,9,"Great course, learned a lot!"
319,8,3,6,6,7,10,8,4,Not very helpful.
390,8,6,7,5,1,4,3,9,Not very helpful.
176,10,2,6,7,4,10,1,3,The teacher explains well.
883,7,4,4,2,8,6,7,4,Course structure could be better.
831,5,2,8,3,5,10,7,7,Best subject ever!
220,10,5,8,7,9,7,2,7,Assignments are too hard.
17,7,6,5,3,9,5,5,2,Course structure could be better.
938,10,10,6,5,2,9,9,9,Best subject ever!
651,8,7,6,3,9,10,6,1,Not very helpful.
953,5,10,8,10,6,4,6,4,Loved the presentations.
902,5,8,6,10,4,5,5,9,"Great course, learned a lot!"
167,7,7,5,8,6,9,9,8,The teacher explains well.
669,9,3,4,5,2,2,1,6,"Great course, learned a lot!"
859,8,3,5,9,10,3,1,6,Sometimes explanations are confusing.
120,8,4,7,5,4,4,10,6,Sometimes explanations are confusing.
293,10,4,7,1,6,7,7,4,Course structure could be better.
789,10,2,8,7,9,8,1,4,Not very helpful.
182,5,2,7,2,3,6,1,9,Not very helpful.
369,10,5,4,4,3,7,4,10,Assignments are too hard.
207,6,8,6,7,9,7,2,5,Assignments are too hard.
842,10,7,5,3,3,6,4,6,Assignments are too hard.
38,5,8,7,6,10,8,9,5,Loved the presentations.
495,5,4,7,9,6,10,5,9,I would recommend this course.
942,10,6,8,3,7,8,4,5,Very supportive teacher.
752,10,7,4,4,4,9,10,7,I would recommend this course.
940,7,3,6,9,10,8,3,5,"Great course, learned a lot!"
648,5,7,7,9,6,3,10,3,I would recommend this course.
125,6,2,4,5,9,7,7,7,Loved the presentations.
516,10,2,8,9,2,3,3,1,"Great course, learned a lot!"
963,9,6,4,5,3,3,6,6,I would recommend this course.
215,5,6,6,2,1,9,5,8,Loved the presentations.
823,7,5,8,3,4,3,1,10,Very supportive teacher.
840,5,7,5,6,9,9,10,6,I would recommend this course.
429,8,3,5,1,8,1,8,9,Loved the presentations.
109,6,3,5,6,1,6,6,10,Assignments are too hard.
795,6,9,8,4,2,6,10,6,Not very helpful.
760,9,4,4,3,8,5,10,1,Assignments are too hard.
536,10,10,4,7,8,7,6,2,Not very helpful.
888,6,6,5,2,3,6,6,3,The teacher explains well.
719,10,10,8,7,6,10,6,4,The teacher explains well.
654,6,4,4,9,5,8,8,2,The teacher explains well.
947,7,3,8,1,5,9,7,2,Very supportive teacher.
403,5,7,6,6,5,6,4,6,Assignments are too hard.
124,9,9,7,9,1,9,4,3,Not very helpful.
548,9,8,6,7,1,2,7,6,Loved the presentations.
880,7,3,6,3,5,3,3,10,"Great course, learned a lot!"
939,10,10,7,4,1,2,3,9,Loved the presentations.
166,6,10,4,4,4,8,4,6,"Great course, learned a lot!"
885,5,6,7,7,2,2,5,7,Sometimes explanations are confusing.
112,7,9,6,9,1,7,1,2,Loved the presentations.
811,8,8,8,6,1,4,9,1,I would recommend this course.
213,10,8,4,10,1,5,6,2,I would recommend this course.
375,10,4,4,1,3,4,7,9,Course structure could be better.
897,6,7,4,1,9,8,8,7,Assignments are too hard.
460,7,8,5,6,7,7,6,7,"Great course, learned a lot!"
416,6,2,5,8,9,6,3,7,"Great course, learned a lot!"
571,8,9,7,3,1,8,9,7,Assignments are too hard.
744,8,5,7,3,10,4,6,7,Very supportive teacher.
378,9,8,7,2,4,7,2,6,Course structure could be better.
121,5,9,5,2,4,5,6,6,Very supportive teacher.
462,10,4,8,5,4,6,4,7,Very supportive teacher.
777,8,6,4,6,4,7,10,1,Very supportive teacher.
845,5,10,6,8,4,4,4,5,Assignments are too hard.
533,6,10,5,7,2,5,10,10,Very supportive teacher.
450,5,2,6,2,4,5,1,4,I would recommend this course.
717,6,2,4,6,6,2,6,9,The teacher explains well.
469,10,8,6,1,3,5,8,10,Sometimes explanations are confusing.
670,7,7,8,1,6,1,2,1,"Great course, learned a lot!"
137,8,2,5,2,4,9,7,8,"Great course, learned a lot!"
801,10,7,4,3,6,1,10,4,Sometimes explanations are confusing.
315,5,10,5,10,8,4,8,4,Assignments are too hard.
153,7,7,5,3,8,9,8,9,Loved the presentations.
190,8,6,7,5,6,4,3,8,Assignments are too hard.
22,7,9,4,1,2,8,10,4,"Great course, learned a lot!"
949,9,8,7,1,7,6,9,4,"Great course, learned a lot!"
523,10,2,6,9,7,5,10,9,Sometimes explanations are confusing.
527,5,6,5,2,8,6,9,8,Very supportive teacher.
461,7,10,7,6,6,8,4,9,Assignments are too hard.
244,5,8,4,9,3,10,1,3,Not very helpful.
363,9,3,8,10,2,7,5,1,Sometimes explanations are confusing.
610,8,10,6,8,2,1,5,1,I would recommend this course.
381,9,2,8,8,1,9,1,2,"Great course, learned a lot!"
954,8,8,6,3,9,5,7,2,Sometimes explanations are confusing.
604,10,9,8,9,4,8,7,9,Assignments are too hard.
414,10,6,4,8,2,9,9,3,"Great course, learned a lot!"
151,8,7,5,10,8,3,8,6,Loved the presentations.
721,6,9,4,1,4,10,10,9,Sometimes explanations are confusing.
664,10,8,7,4,8,2,1,10,Course structure could be better.
956,7,2,6,5,2,3,8,7,"Great course, learned a lot!"
747,5,3,5,6,5,10,3,6,Assignments are too hard.
438,9,6,5,9,2,3,9,3,The teacher explains well.
975,5,10,4,8,7,6,8,3,Not very helpful.
277,5,6,8,7,2,7,1,10,Best subject ever!
312,7,2,7,6,6,3,7,2,Very supportive teacher.
565,10,9,7,10,4,8,5,4,Best subject ever!
739,8,7,5,10,1,1,8,1,Assignments are too hard.
584,8,8,5,8,6,6,9,4,I would recommend this course.
894,6,3,5,4,7,1,5,5,I would recommend this course.
270,9,10,5,9,6,4,7,7,The teacher explains well.
966,7,4,5,3,1,8,10,2,Very supportive teacher.
489,7,2,5,8,1,1,8,8,Course structure could be better.
665,6,3,4,2,8,5,8,5,The teacher explains well.
71,9,10,8,4,9,3,8,2,Best subject ever!
603,7,2,7,1,7,7,1,7,The teacher explains well.
196,8,10,8,10,6,7,7,7,Best subject ever!
804,9,3,7,6,10,7,9,7,"Great course, learned a lot!"
837,5,10,4,1,4,8,9,1,I would recommend this course.
530,6,5,4,9,1,2,3,6,"Great course, learned a lot!"
720,6,6,6,9,10,4,6,7,Not very helpful.
272,5,4,6,4,4,7,7,9,Very supportive teacher.
984,5,10,6,4,2,10,4,6,Course structure could be better.
185,10,3,8,4,1,10,7,9,Best subject ever!
487,6,6,4,2,10,10,1,9,Course structure could be better.
75,8,9,8,6,2,7,9,10,Best subject ever!
718,6,3,6,7,6,6,2,6,Assignments are too hard.
496,10,7,4,6,10,5,3,6,The teacher explains well.
630,5,5,4,8,3,6,6,8,Not very helpful.
637,8,10,5,6,10,8,2,2,I would recommend this course.
360,9,9,8,2,3,1,8,6,Best subject ever!
183,6,7,5,5,4,7,1,9,Course structure could be better.
689,10,8,7,8,1,9,5,10,Not very helpful.
236,6,9,6,4,1,2,8,4,Loved the presentations.
768,6,6,6,3,5,9,8,3,Loved the presentations.
316,7,2,7,8,6,4,2,9,"Great course, learned a lot!"
396,6,10,4,6,1,2,4,10,I would recommend this course.
212,6,4,4,6,5,10,10,2,Assignments are too hard.
830,9,7,7,10,7,8,6,4,Course structure could be better.
209,9,8,5,3,3,10,7,2,The teacher explains well.
62,7,4,4,5,3,10,2,1,The teacher explains well.
447,8,7,7,1,4,7,10,9,Course structure could be better.
100,6,6,6,10,7,5,7,8,Very supportive teacher.
305,10,8,8,4,6,3,10,4,Assignments are too hard.
494,10,6,6,6,4,10,2,9,Not very helpful.
328,10,6,5,4,6,10,8,2,Best subject ever!
854,8,2,8,4,6,2,4,7,Very supportive teacher.
866,5,10,4,8,3,7,4,5,Best subject ever!
943,8,9,7,10,6,7,7,6,Best subject ever!
734,9,8,5,3,10,1,8,3,Very supportive teacher.
189,9,3,6,2,3,8,10,7,"Great course, learned a lot!"
404,10,5,7,8,1,5,10,4,Loved the presentations.
518,7,4,8,5,7,9,2,6,Best subject ever!
856,6,9,4,6,8,8,3,8,Very supportive teacher.
70,9,2,5,8,10,9,7,6,Very supportive teacher.
457,7,4,8,2,3,6,8,4,Sometimes explanations are confusing.
148,5,4,4,4,8,10,5,5,"Great course, learned a lot!"
958,10,10,5,8,5,10,7,8,I would recommend this course.
356,7,3,7,6,4,2,1,10,Sometimes explanations are confusing.
793,10,9,6,4,7,6,8,3,Sometimes explanations are confusing.
771,8,7,6,4,8,7,3,2,Course structure could be better.
452,5,6,7,9,7,8,6,1,Loved the presentations.
72,8,7,7,3,4,1,4,7,Very supportive teacher.
710,7,2,6,5,7,7,6,10,Loved the presentations.
980,6,3,7,1,5,4,9,4,Assignments are too hard.
145,6,8,4,6,1,3,2,7,Course structure could be better.
960,6,9,6,1,3,3,5,8,I would recommend this course.
660,5,7,7,3,10,3,3,4,Loved the presentations.
987,9,10,7,8,7,3,8,7,The teacher explains well.
534,9,5,7,5,2,6,10,8,Best subject ever!
858,9,5,5,3,2,2,7,7,Assignments are too hard.
324,10,5,5,2,2,5,7,6,"Great course, learned a lot!"
884,7,4,7,10,5,1,7,4,I would recommend this course.
611,8,9,5,3,9,5,8,3,Assignments are too hard.
136,8,6,7,10,9,9,2,3,Best subject ever!
705,9,3,6,3,3,5,1,2,Course structure could be better.
991,7,4,5,8,9,8,5,1,Best subject ever!
676,9,8,5,7,4,10,2,6,Sometimes explanations are confusing.
769,9,8,8,8,1,1,8,5,Best subject ever!
246,7,10,8,8,4,10,3,8,Sometimes explanations are confusing.
644,9,6,8,2,7,6,4,6,Course structure could be better.
263,7,9,4,7,9,8,10,7,Not very helpful.
476,9,4,6,4,8,6,4,10,Sometimes explanations are confusing.
697,7,7,6,1,8,10,5,2,"Great course, learned a lot!"
95,7,2,5,5,9,6,8,3,Best subject ever!
688,8,6,7,5,6,1,4,10,Best subject ever!
633,8,2,4,7,4,6,7,4,"Great course, learned a lot!"
241,8,3,8,8,10,1,8,6,The teacher explains well.
524,9,8,4,6,10,1,9,10,Very supportive teacher.
504,9,4,5,6,6,1,7,10,Not very helpful.
417,9,6,7,9,5,1,7,2,I would recommend this course.
554,6,6,8,2,4,6,4,10,Sometimes explanations are confusing.
656,6,2,7,2,5,6,9,9,"Great course, learned a lot!"
19,10,4,6,3,9,10,9,3,Course structure could be better.
275,8,5,4,9,5,5,8,10,Sometimes explanations are confusing.
478,5,10,7,6,8,7,3,9,Very supportive teacher.
132,6,9,5,8,10,3,2,10,Course structure could be better.
515,8,3,5,10,3,4,9,4,Assignments are too hard.
44,8,9,5,3,6,9,4,9,Best subject ever!
388,6,10,4,5,6,4,4,9,Assignments are too hard.
204,8,7,6,3,3,10,3,6,Sometimes explanations are confusing.
338,5,2,4,6,9,10,9,4,Very supportive teacher.
619,8,7,6,4,3,9,3,8,Not very helpful.
205,8,4,4,2,1,7,9,7,Sometimes explanations are confusing.
39,7,3,7,10,6,4,8,2,"Great course, learned a lot!"
53,5,8,5,1,10,8,5,7,Loved the presentations.
58,9,3,7,1,2,3,10,7,Sometimes explanations are confusing.
157,9,6,8,2,8,4,4,3,Best subject ever!
28,8,6,6,9,9,9,4,7,Best subject ever!
833,8,6,7,7,7,9,10,9,Sometimes explanations are confusing.
252,8,9,4,6,10,2,7,5,Course structure could be better.
658,8,5,6,7,10,4,6,4,Loved the presentations.
179,6,3,7,6,2,6,5,2,"Great course, learned a lot!"
851,9,6,4,10,2,1,3,10,Sometimes explanations are confusing.
809,7,8,7,5,10,2,8,8,Course structure could be better.
330,7,7,5,7,9,10,2,2,Best subject ever!
94,10,10,4,7,8,2,4,4,Best subject ever!
826,10,5,7,2,8,7,10,5,Very supportive teacher.
227,9,3,6,4,7,4,4,7,Sometimes explanations are confusing.
1000,9,8,5,4,10,7,7,10,Loved the presentations.
114,10,9,7,1,8,4,4,2,The teacher explains well.
251,5,9,6,9,6,4,5,2,Loved the presentations.
613,5,6,6,3,9,4,2,9,Best subject ever!
101,10,5,6,6,9,8,10,3,Best subject ever!
871,7,8,7,10,10,7,2,2,Assignments are too hard.
551,6,3,5,7,3,1,9,10,Best subject ever!
931,6,5,7,3,6,5,6,10,"Great course, learned a lot!"
49,8,7,8,8,1,1,8,3,I would recommend this course.
512,5,10,7,9,9,9,6,9,Sometimes explanations are confusing.
261,9,9,7,7,4,10,5,9,Loved the presentations.
754,6,9,4,4,3,10,2,10,I would recommend this course.
345,8,2,8,9,10,10,9,5,Course structure could be better.
970,10,9,5,7,6,7,4,7,The teacher explains well.
990,6,9,6,4,9,5,10,8,"Great course, learned a lot!"
911,6,4,4,10,9,4,7,2,Loved the presentations.
909,9,8,5,9,5,6,9,7,I would recommend this course.
817,6,5,7,10,10,4,6,6,The teacher explains well.
733,10,10,5,1,4,1,3,4,Assignments are too hard.
626,7,9,5,4,9,4,3,1,"Great course, learned a lot!"
292,7,9,8,1,5,4,7,4,"Great course, learned a lot!"
82,5,10,8,4,4,10,5,5,Assignments are too hard.
355,10,8,5,6,5,10,1,8,Sometimes explanations are confusing.
948,9,5,4,7,9,3,5,7,Assignments are too hard.
341,9,4,4,4,7,5,5,8,"Great course, learned a lot!"
952,7,9,5,7,8,8,10,5,"Great course, learned a lot!"
711,7,3,4,6,3,7,6,4,I would recommend this course.
635,7,3,8,6,7,4,10,5,Best subject ever!
850,5,8,7,4,8,7,8,6,The teacher explains well.
716,6,3,7,9,2,3,3,6,Assignments are too hard.
627,10,2,4,1,6,5,9,5,The teacher explains well.
661,6,10,4,3,8,2,7,6,Assignments are too hard.
877,8,9,4,5,10,10,10,2,Course structure could be better.
177,8,2,6,2,8,1,9,9,"Great course, learned a lot!"
322,8,10,7,3,3,3,1,5,Best subject ever!
914,9,2,4,2,4,2,2,9,I would recommend this course.
486,10,9,5,1,4,10,6,9,Best subject ever!
723,6,10,5,3,10,3,6,4,Best subject ever!
105,9,10,5,1,3,1,1,2,Best subject ever!
52,6,10,4,1,7,3,10,2,The teacher explains well.
436,9,9,4,10,1,10,10,2,Assignments are too hard.
829,6,9,5,3,2,2,10,9,Not very helpful.
753,5,10,8,7,5,10,9,7,Course structure could be better.
130,7,9,5,9,3,2,5,4,Loved the presentations.
91,6,5,4,2,5,8,3,3,Best subject ever!
590,10,3,4,4,9,9,6,2,Sometimes explanations are confusing.
965,10,3,4,5,10,3,7,3,The teacher explains well.
99,8,9,6,2,2,3,10,6,I would recommend this course.
912,7,10,7,10,2,7,5,7,Loved the presentations.
395,9,6,8,2,7,9,8,10,Not very helpful.
923,6,3,5,6,9,4,10,3,Sometimes explanations are confusing.
499,7,9,8,3,5,1,5,2,Not very helpful.
115,5,5,7,1,3,8,1,10,Loved the presentations.
815,5,9,6,6,2,9,5,3,Best subject ever!
570,10,10,6,8,9,2,8,10,Sometimes explanations are confusing.
825,9,7,8,1,3,2,9,3,Not very helpful.
620,9,5,8,2,8,10,8,8,I would recommend this course.
175,10,9,8,2,1,6,7,2,Assignments are too hard.
358,5,7,4,3,3,10,3,4,"Great course, learned a lot!"
191,7,4,5,2,5,10,4,7,Assignments are too hard.
492,6,5,8,10,3,8,3,2,Loved the presentations.
529,9,6,6,1,4,10,1,7,The teacher explains well.
389,5,5,8,6,2,3,5,7,"Great course, learned a lot!"
878,6,5,8,4,10,3,9,10,Course structure could be better.
368,7,9,8,3,2,7,4,1,I would recommend this course.
